UA_name, EN_name
«Шахтар» Донецьк,Shakhtar Donetsk
«Динамо» Київ,Dynamo Kyiv
«Дніпро-1» Дніпро,SK Dnipro-1
«Зоря» Луганськ,Zorya Lugansk
«Ворскла» Полтава,Vorskla Poltava
«Олександрія» Олександрія,FK Oleksandriya
«Десна» Чернігів,Desna Chernigiv
«Колос» Ковалівка,Kolos Kovalivka
«Верес» Рівне,NK Veres Rivne
«Металіст 1925» Харків,Metalist 1925 Kharkiv
«Рух» Львів,Rukh Lviv
«Львів» Львів,PFK Lviv
«Чорноморець» Одеса,Chornomorets Odessa
«Інгулець» Петрове,Ingulets Petrove
«Минай» Минай,FK Minaj
«Маріуполь» Маріуполь,FK Mariupol
